"pe","participant","study","N","corrAns","sd","se","ci"
"highPE","22","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"highPE","24","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","25","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"highPE","26","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"highPE","27","Experiment 2",15,0.733333333333333,0.457737708217063,0.118187368057056,0.253486693688815
"highPE","28","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","29","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","30","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","31","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","32","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","33","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","35","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","37","Experiment 2",16,0,0,0,0
"highPE","38","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","40","Experiment 2",16,0.125,0.341565025531987,0.0853912563829966,0.182007154612316
"highPE","41","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"highPE","42","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","43","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","48","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","49","Experiment 2",16,0.125,0.341565025531987,0.0853912563829966,0.182007154612316
"highPE","50","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","51","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","52","Experiment 2",16,0,0,0,0
"highPE","53","Experiment 2",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","54","Experiment 2",16,0.875,0.341565025531987,0.0853912563829966,0.182007154612316
"highPE","55","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","56","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","57","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","58","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","59","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","60","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","61","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","62","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","63","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
