"participant","PE_level","recogResp","recogRT","conf","sceneResp","cornerResp","cases","scenes","old_new","corrlocation","corrAns","corrAns_scene","corrAns_corner","rt_out"
24,"medium",1,4.477,3,2,2,"old","Icy2.jpeg","Qu1_oldright.png","2",0,1,1,4.477
24,"low",1,10.635,2,4,4,"old","Desert2.jpeg","Qu1_oldright.png","4",0,0,1,10.635
24,"new",4,5.924,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,5.924
24,"new",1,4.211,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,4.211
24,"medium",1,3.334,1,2,1,"old","Desert4.jpeg","Qu1_oldright.png","1",0,0,1,3.334
24,"new",1,1.904,3,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,1.904
24,"low",1,2.575,3,2,4,"old","Savanna1.jpeg","Qu1_oldright.png","1",0,0,0,2.575
24,"new",1,11.961,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,11.961
24,"low",1,1.561,3,3,4,"old","Icy2.jpeg","Qu1_oldright.png","2",0,0,0,1.561
24,"new",1,2.634,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,2.634
24,"medium",1,7.428,1,2,2,"old","Beach3.jpeg","Qu1_oldright.png","2",0,0,1,7.428
24,"new",1,7.658,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",1,0,0,7.658
24,"high",1,1.348,3,3,1,"old","Beach3.jpeg","Qu1_oldright.png","4",0,1,0,1.348
24,"high",1,12.768,1,1,3,"old","Icy2.jpeg","Qu1_oldright.png","2",0,0,0,12.768
24,"new",4,1.758,1,NA,NA,"new","filler.png","Qu1_oldright.png","filler",0,0,0,1.758
24,"medium",1,2.04,3,3,4,"old","Beach2.jpeg","Qu1_oldright.png","2",0,0,0,2.04
24,"low",1,5.791,1,3,3,"old","Icy1.jpeg","Qu1_oldright.png","4",0,0,0,5.791
