"pe","participant","conf","study","N","corrAns","sd","se","ci"
"lowPE","54","3","Experiment 2",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"lowPE","54","4","Experiment 2",4,1,0,0,0
"lowPE","55","1","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"lowPE","55","2","Experiment 2",8,0.25,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","55","3","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"lowPE","55","4","Experiment 2",2,1,0,0,0
"lowPE","56","1","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"lowPE","56","2","Experiment 2",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","56","3","Experiment 2",7,0.857142857142857,0.377964473009227,0.142857142857143,0.349558835877853
"lowPE","56","4","Experiment 2",1,1,NA,NA,NA
"lowPE","57","2","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"lowPE","57","3","Experiment 2",8,0.25,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","57","4","Experiment 2",4,0,0,0,0
"lowPE","58","1","Experiment 2",7,0,0,0,0
"lowPE","58","2","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","58","3","Experiment 2",5,1,0,0,0
"lowPE","58","4","Experiment 2",1,1,NA,NA,NA
"lowPE","59","1","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","59","2","Experiment 2",8,0.625,0.517549169506766,0.18298126367785,0.432681933679738
"lowPE","59","3","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"lowPE","59","4","Experiment 2",1,0,NA,NA,NA
"lowPE","60","2","Experiment 2",2,1,0,0,0
"lowPE","60","3","Experiment 2",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","60","4","Experiment 2",8,0.875,0.353553390593274,0.125,0.295578031449098
"lowPE","61","2","Experiment 2",8,0.75,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","61","3","Experiment 2",6,0.166666666666667,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","61","4","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"lowPE","62","1","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","63","1","Experiment 2",1,1,NA,NA,NA
"lowPE","63","2","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","63","3","Experiment 2",8,0.25,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","63","4","Experiment 2",4,0,0,0,0
"medPE","3201","1","Experiment 1",26,0.961538461538462,0.196116135138184,0.0384615384615385,0.0792130212597422
"medPE","3201","2","Experiment 1",3,1,0,0,0
"medPE","3201","3","Experiment 1",7,0.285714285714286,0.487950036474267,0.184427778390829,0.451278516624858
"medPE","3202","1","Experiment 1",14,1,0,0,0
"medPE","3202","2","Experiment 1",10,1,0,0,0
"medPE","3202","3","Experiment 1",11,0.818181818181818,0.404519917477945,0.121967344227261,0.271760178346345
"medPE","3202","4","Experiment 1",1,0,NA,NA,NA
"medPE","3203","1","Experiment 1",18,1,0,0,0
"medPE","3203","2","Experiment 1",5,0.8,0.447213595499958,0.2,0.555289021039559
"medPE","3203","3","Experiment 1",9,1,0,0,0
"medPE","3203","4","Experiment 1",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","3204","1","Experiment 1",4,1,0,0,0
"medPE","3204","2","Experiment 1",29,0.827586206896552,0.384425872219245,0.0713860923457608,0.146227781385911
"medPE","3204","3","Experiment 1",1,0,NA,NA,NA
"medPE","3204","4","Experiment 1",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","3205","1","Experiment 1",16,1,0,0,0
"medPE","3205","2","Experiment 1",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"medPE","3205","3","Experiment 1",13,0.615384615384615,0.506369683541833,0.140441681411581,0.30599613727959
"medPE","3206","1","Experiment 1",17,0.941176470588235,0.242535625036333,0.0588235294117647,0.124700311718897
"medPE","3206","2","Experiment 1",13,0.538461538461538,0.518874521662771,0.143909899491305,0.313552735327778
"medPE","3206","3","Experiment 1",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","3207","1","Experiment 1",25,0.92,0.276887462097269,0.0553774924194538,0.114293526951078
"medPE","3207","2","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"medPE","3207","3","Experiment 1",4,0.25,0.5,0.25,0.795611576320927
"medPE","3208","1","Experiment 1",26,0.884615384615385,0.325812593608421,0.0638971066378314,0.131598554530002
"medPE","3208","2","Experiment 1",4,1,0,0,0
"medPE","3208","3","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","3208","4","Experiment 1",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","3209","1","Experiment 1",17,1,0,0,0
"medPE","3209","2","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"medPE","3209","3","Experiment 1",8,0.625,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","3209","4","Experiment 1",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","3232","1","Experiment 1",7,1,0,0,0
"medPE","3232","2","Experiment 1",4,1,0,0,0
"medPE","3232","3","Experiment 1",20,0.3,0.470162345981627,0.105131496607569,0.220042751275588
"medPE","3232","4","Experiment 1",5,0.8,0.447213595499958,0.2,0.555289021039559
"medPE","3234","1","Experiment 1",29,1,0,0,0
"medPE","3234","2","Experiment 1",5,1,0,0,0
"medPE","3234","3","Experiment 1",1,1,NA,NA,NA
"medPE","3235","1","Experiment 1",16,1,0,0,0
"medPE","3235","2","Experiment 1",8,0.5,0.534522483824849,0.188982236504614,0.446871979559052
"medPE","3235","3","Experiment 1",10,0.5,0.52704627669473,0.166666666666667,0.377026193799701
"medPE","3235","4","Experiment 1",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","3236","1","Experiment 1",18,0.611111111111111,0.50163132570455,0.118235637353762,0.249455389544017
"medPE","3236","2","Experiment 1",11,0.363636363636364,0.504524979109513,0.152120004824377,0.338944492913535
"medPE","3236","3","Experiment 1",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","3236","4","Experiment 1",2,0,0,0,0
"medPE","3237","1","Experiment 1",12,0.916666666666667,0.288675134594813,0.0833333333333333,0.183415430007637
"medPE","3237","2","Experiment 1",10,0.4,0.516397779494322,0.163299316185545,0.36940871778918
"medPE","3237","3","Experiment 1",12,0.416666666666667,0.514928650544437,0.148647097502641,0.327170055694007
"medPE","3237","4","Experiment 1",2,0,0,0,0
"medPE","3239","1","Experiment 1",19,0.368421052631579,0.495594627783352,0.113697205235226,0.238868964392494
"medPE","3239","2","Experiment 1",4,1,0,0,0
"medPE","3239","3","Experiment 1",10,0.6,0.516397779494322,0.163299316185545,0.36940871778918
"medPE","3239","4","Experiment 1",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","3240","1","Experiment 1",21,0.904761904761905,0.300792603759119,0.0656383273909058,0.136919151677099
"medPE","3240","2","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"medPE","3240","3","Experiment 1",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","3240","4","Experiment 1",3,0,0,0,0
"medPE","3241","1","Experiment 1",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"medPE","3241","2","Experiment 1",15,0.666666666666667,0.487950036474267,0.125988157669742,0.270217723405353
"medPE","3241","3","Experiment 1",12,0.666666666666667,0.492365963917331,0.14213381090374,0.312834408546404
"medPE","3241","4","Experiment 1",2,0,0,0,0
"medPE","3243","1","Experiment 1",10,0.8,0.421637021355784,0.133333333333333,0.301620955039761
"medPE","3243","2","Experiment 1",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"medPE","3243","3","Experiment 1",10,0.7,0.483045891539648,0.152752523165195,0.345550214413644
"medPE","3244","1","Experiment 1",10,1,0,0,0
"medPE","3244","2","Experiment 1",18,0.833333333333333,0.383482494423685,0.0903876907577734,0.190701358005131
"medPE","3244","3","Experiment 1",6,0.166666666666667,0.408248290463863,0.166666666666667,0.428430305939386
"medPE","3246","1","Experiment 1",36,0.777777777777778,0.421637021355784,0.0702728368926307,0.142661443316373
"medPE","3248","1","Experiment 1",20,0.95,0.223606797749979,0.05,0.104651202720415
"medPE","3248","2","Experiment 1",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","3248","3","Experiment 1",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","3248","4","Experiment 1",2,0,0,0,0
"medPE","3249","1","Experiment 1",21,0.857142857142857,0.358568582800318,0.0782460796435952,0.163218462028393
"medPE","3249","2","Experiment 1",8,0.375,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","3249","3","Experiment 1",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","3249","4","Experiment 1",1,1,NA,NA,NA
"medPE","3250","1","Experiment 1",7,1,0,0,0
"medPE","3250","2","Experiment 1",14,0.714285714285714,0.468807230938495,0.125294002758147,0.270681236401463
"medPE","3250","3","Experiment 1",13,0.769230769230769,0.438529009653515,0.12162606385263,0.265000428344036
"medPE","3250","4","Experiment 1",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","3251","1","Experiment 1",16,1,0,0,0
"medPE","3251","2","Experiment 1",10,0.9,0.316227766016838,0.1,0.22621571627982
"medPE","3251","3","Experiment 1",7,0.428571428571429,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","3251","4","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","3252","1","Experiment 1",24,1,0,0,0
"medPE","3252","2","Experiment 1",3,1,0,0,0
"medPE","3252","3","Experiment 1",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"medPE","3252","4","Experiment 1",2,0,0,0,0
"medPE","3253","1","Experiment 1",19,1,0,0,0
"medPE","3253","2","Experiment 1",15,0.8,0.414039335605413,0.10690449676497,0.229287341540059
"medPE","3253","3","Experiment 1",2,0,0,0,0
"medPE","3254","1","Experiment 1",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","3254","2","Experiment 1",10,0.6,0.516397779494322,0.163299316185545,0.36940871778918
"medPE","3254","3","Experiment 1",3,1,0,0,0
"medPE","3254","4","Experiment 1",7,0.142857142857143,0.377964473009227,0.142857142857143,0.349558835877853
"medPE","3255","1","Experiment 1",25,0.96,0.2,0.04,0.082555942465121
"medPE","3255","2","Experiment 1",9,0.666666666666667,0.5,0.166666666666667,0.384334022534028
"medPE","3255","3","Experiment 1",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","3257","1","Experiment 1",23,0.956521739130435,0.208514414057075,0.0434782608695652,0.0901683942566968
"medPE","3257","2","Experiment 1",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","3257","3","Experiment 1",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","3257","4","Experiment 1",1,0,NA,NA,NA
"medPE","3258","1","Experiment 1",12,0.916666666666667,0.288675134594813,0.0833333333333333,0.183415430007637
"medPE","3258","2","Experiment 1",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"medPE","3258","3","Experiment 1",10,1,0,0,0
"medPE","3258","4","Experiment 1",3,1,0,0,0
"medPE","3259","1","Experiment 1",18,0.833333333333333,0.383482494423685,0.0903876907577734,0.190701358005131
"medPE","3259","2","Experiment 1",9,0.444444444444444,0.52704627669473,0.175682092231577,0.405123631167335
"medPE","3259","3","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","3260","1","Experiment 1",13,1,0,0,0
"medPE","3260","2","Experiment 1",11,0.909090909090909,0.301511344577764,0.0909090909090909,0.202558077453298
"medPE","3260","3","Experiment 1",8,0.875,0.353553390593274,0.125,0.295578031449098
"medPE","3261","1","Experiment 1",6,1,0,0,0
"medPE","3261","2","Experiment 1",6,1,0,0,0
"medPE","3261","3","Experiment 1",2,1,0,0,0
"medPE","3261","4","Experiment 1",17,0.411764705882353,0.507299656195892,0.123038239196188,0.26082941527885
"medPE","3262","1","Experiment 1",14,1,0,0,0
"medPE","3262","2","Experiment 1",10,0.9,0.316227766016838,0.1,0.22621571627982
"medPE","3262","3","Experiment 1",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","3264","1","Experiment 1",14,0.5,0.518874521662771,0.138675049056307,0.299589229414686
"medPE","3264","2","Experiment 1",14,0.642857142857143,0.497245158098847,0.132894358488438,0.287100806699151
"medPE","3264","3","Experiment 1",8,0.625,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","3268","1","Experiment 1",14,0.928571428571429,0.267261241912424,0.0714285714285714,0.154312046890199
"medPE","3268","2","Experiment 1",8,1,0,0,0
"medPE","3268","3","Experiment 1",12,0.583333333333333,0.514928650544437,0.148647097502641,0.327170055694007
"medPE","3268","4","Experiment 1",2,0,0,0,0
"medPE","3270","1","Experiment 1",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","3270","2","Experiment 1",11,0.727272727272727,0.467099366496914,0.140835758043906,0.313801624246565
"medPE","3270","3","Experiment 1",13,0.615384615384615,0.506369683541833,0.140441681411581,0.30599613727959
"medPE","3270","4","Experiment 1",7,0.142857142857143,0.377964473009227,0.142857142857143,0.349558835877853
"medPE","3271","1","Experiment 1",18,1,0,0,0
"medPE","3271","2","Experiment 1",10,1,0,0,0
"medPE","3271","3","Experiment 1",5,0.8,0.447213595499958,0.2,0.555289021039559
"medPE","3271","4","Experiment 1",3,0,0,0,0
"medPE","3272","1","Experiment 1",23,0.739130434782609,0.44897775854488,0.0936183342476444,0.194152542058227
"medPE","3272","2","Experiment 1",11,0.909090909090909,0.301511344577764,0.0909090909090909,0.202558077453298
"medPE","3272","3","Experiment 1",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","3273","1","Experiment 1",24,0.916666666666667,0.28232985128664,0.0576303395673437,0.11921744053702
"medPE","3273","2","Experiment 1",4,0.75,0.5,0.25,0.795611576320927
"medPE","3273","3","Experiment 1",5,0.8,0.447213595499958,0.2,0.555289021039559
"medPE","3273","4","Experiment 1",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","3274","1","Experiment 1",10,0.8,0.421637021355784,0.133333333333333,0.301620955039761
"medPE","3274","2","Experiment 1",14,0.714285714285714,0.468807230938495,0.125294002758147,0.270681236401463
"medPE","3274","3","Experiment 1",12,0.25,0.452267016866645,0.130558241966773,0.287356753096522
"medPE","3280","1","Experiment 1",28,0.678571428571429,0.475594865605671,0.0898789813722708,0.184416436769788
"medPE","3280","2","Experiment 1",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","3280","3","Experiment 1",3,0,0,0,0
"medPE","6401","1","Experiment 1",23,0.956521739130435,0.208514414057075,0.0434782608695652,0.0901683942566968
"medPE","6401","2","Experiment 1",13,0.615384615384615,0.506369683541833,0.140441681411581,0.30599613727959
"medPE","6402","1","Experiment 1",19,0.842105263157895,0.374634324632678,0.085947008518708,0.180567964489738
"medPE","6402","2","Experiment 1",10,0.9,0.316227766016838,0.1,0.22621571627982
"medPE","6402","3","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"medPE","6405","1","Experiment 1",14,0.928571428571429,0.267261241912424,0.0714285714285714,0.154312046890199
"medPE","6405","2","Experiment 1",10,0.6,0.516397779494322,0.163299316185545,0.36940871778918
"medPE","6405","3","Experiment 1",8,0.125,0.353553390593274,0.125,0.295578031449098
"medPE","6405","4","Experiment 1",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","6407","1","Experiment 1",10,1,0,0,0
"medPE","6407","2","Experiment 1",8,0.5,0.534522483824849,0.188982236504614,0.446871979559052
"medPE","6407","3","Experiment 1",14,0.5,0.518874521662771,0.138675049056307,0.299589229414686
"medPE","6407","4","Experiment 1",4,0.75,0.5,0.25,0.795611576320927
"medPE","9633","1","Experiment 1",21,0.952380952380952,0.218217890235992,0.0476190476190476,0.0993315927269459
"medPE","9633","2","Experiment 1",8,0.875,0.353553390593274,0.125,0.295578031449098
"medPE","9633","3","Experiment 1",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","9636","1","Experiment 1",21,0.761904761904762,0.436435780471985,0.0952380952380952,0.198663185453892
"medPE","9636","2","Experiment 1",8,0.625,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","9636","3","Experiment 1",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"medPE","9636","4","Experiment 1",1,0,NA,NA,NA
"medPE","9637","1","Experiment 1",14,0.928571428571429,0.267261241912424,0.0714285714285714,0.154312046890199
"medPE","9637","2","Experiment 1",8,0.625,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","9637","3","Experiment 1",13,0.461538461538462,0.518874521662771,0.143909899491305,0.313552735327778
"medPE","9637","4","Experiment 1",1,1,NA,NA,NA
"medPE","9639","1","Experiment 1",17,0.882352941176471,0.332105582077536,0.0805474349272303,0.170752934140915
"medPE","9639","2","Experiment 1",9,0.777777777777778,0.440958551844098,0.146986183948033,0.338950748002044
"medPE","9639","3","Experiment 1",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","9639","4","Experiment 1",4,0.25,0.5,0.25,0.795611576320927
"medPE","1","2","Experiment 2",2,0,0,0,0
"medPE","1","3","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"medPE","1","4","Experiment 2",10,0.3,0.483045891539648,0.152752523165195,0.345550214413644
"medPE","2","2","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","2","3","Experiment 2",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","2","4","Experiment 2",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","5","1","Experiment 2",1,0,NA,NA,NA
"medPE","5","2","Experiment 2",4,0.75,0.5,0.25,0.795611576320927
"medPE","5","3","Experiment 2",7,0,0,0,0
"medPE","5","4","Experiment 2",4,0,0,0,0
"medPE","7","2","Experiment 2",8,0.375,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","7","3","Experiment 2",8,0,0,0,0
"medPE","8","2","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","8","3","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","8","4","Experiment 2",10,0.1,0.316227766016838,0.1,0.22621571627982
"medPE","9","1","Experiment 2",1,0,NA,NA,NA
"medPE","9","2","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","9","3","Experiment 2",8,0.625,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","9","4","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","10","1","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","10","2","Experiment 2",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","10","3","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","10","4","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","11","2","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","11","3","Experiment 2",12,0.25,0.452267016866645,0.130558241966773,0.287356753096522
"medPE","12","1","Experiment 2",1,1,NA,NA,NA
"medPE","12","2","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","12","3","Experiment 2",9,0.444444444444444,0.52704627669473,0.175682092231577,0.405123631167335
"medPE","12","4","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"medPE","13","1","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","13","2","Experiment 2",2,0,0,0,0
"medPE","13","3","Experiment 2",1,1,NA,NA,NA
"medPE","13","4","Experiment 2",10,0.5,0.52704627669473,0.166666666666667,0.377026193799701
"medPE","14","2","Experiment 2",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","14","3","Experiment 2",8,0.375,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","14","4","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","15","2","Experiment 2",15,0.466666666666667,0.516397779494322,0.133333333333333,0.28597155838904
"medPE","15","3","Experiment 2",1,1,NA,NA,NA
"medPE","17","1","Experiment 2",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","17","2","Experiment 2",2,0,0,0,0
"medPE","17","3","Experiment 2",6,0,0,0,0
"medPE","17","4","Experiment 2",2,0,0,0,0
"medPE","18","1","Experiment 2",2,1,0,0,0
"medPE","18","2","Experiment 2",9,0.444444444444444,0.52704627669473,0.175682092231577,0.405123631167335
"medPE","18","3","Experiment 2",5,0.8,0.447213595499958,0.2,0.555289021039559
"medPE","19","2","Experiment 2",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","19","3","Experiment 2",7,0.428571428571429,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","19","4","Experiment 2",2,0,0,0,0
"medPE","20","1","Experiment 2",2,1,0,0,0
"medPE","20","2","Experiment 2",7,0.428571428571429,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","20","3","Experiment 2",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","20","4","Experiment 2",2,0,0,0,0
"medPE","21","1","Experiment 2",2,0,0,0,0
"medPE","21","2","Experiment 2",8,0.75,0.462910049886276,0.163663417676994,0.38700248653758
"medPE","21","3","Experiment 2",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","22","1","Experiment 2",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","22","2","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","22","3","Experiment 2",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","22","4","Experiment 2",1,0,NA,NA,NA
"medPE","24","1","Experiment 2",8,0.375,0.517549169506766,0.18298126367785,0.432681933679738
"medPE","24","2","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"medPE","24","3","Experiment 2",4,0,0,0,0
"medPE","25","1","Experiment 2",1,1,NA,NA,NA
"medPE","25","2","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","25","3","Experiment 2",2,0,0,0,0
"medPE","25","4","Experiment 2",10,0.1,0.316227766016838,0.1,0.22621571627982
"medPE","26","1","Experiment 2",3,1,0,0,0
"medPE","26","2","Experiment 2",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","26","3","Experiment 2",4,0.75,0.5,0.25,0.795611576320927
"medPE","26","4","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","27","1","Experiment 2",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","27","2","Experiment 2",1,1,NA,NA,NA
"medPE","27","3","Experiment 2",9,0.888888888888889,0.333333333333333,0.111111111111111,0.256222681689352
"medPE","28","1","Experiment 2",1,1,NA,NA,NA
"medPE","28","2","Experiment 2",7,0.142857142857143,0.377964473009227,0.142857142857143,0.349558835877853
"medPE","28","3","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","28","4","Experiment 2",5,0.8,0.447213595499958,0.2,0.555289021039559
"medPE","29","1","Experiment 2",1,0,NA,NA,NA
"medPE","29","2","Experiment 2",6,0.166666666666667,0.408248290463863,0.166666666666667,0.428430305939386
"medPE","29","3","Experiment 2",6,0.5,0.547722557505166,0.223606797749979,0.574799572620899
"medPE","29","4","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","30","1","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","30","2","Experiment 2",6,0.5,0.547722557505166,0.223606797749979,0.574799572620899
"medPE","30","3","Experiment 2",7,0.428571428571429,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","30","4","Experiment 2",1,0,NA,NA,NA
"medPE","31","1","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","31","2","Experiment 2",9,0.666666666666667,0.5,0.166666666666667,0.384334022534028
"medPE","31","3","Experiment 2",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","32","1","Experiment 2",2,0,0,0,0
"medPE","32","2","Experiment 2",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","32","3","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","32","4","Experiment 2",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"medPE","33","1","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","33","2","Experiment 2",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","33","3","Experiment 2",6,0.5,0.547722557505166,0.223606797749979,0.574799572620899
"medPE","35","1","Experiment 2",1,0,NA,NA,NA
"medPE","35","2","Experiment 2",8,0.25,0.462910049886276,0.163663417676994,0.38700248653758
"medPE","35","3","Experiment 2",5,0,0,0,0
"medPE","35","4","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","37","1","Experiment 2",1,1,NA,NA,NA
"medPE","37","2","Experiment 2",5,0.2,0.447213595499958,0.2,0.555289021039559
"medPE","37","3","Experiment 2",9,0,0,0,0
"medPE","37","4","Experiment 2",1,0,NA,NA,NA
"medPE","38","1","Experiment 2",3,1,0,0,0
"medPE","38","2","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","38","3","Experiment 2",2,1,0,0,0
"medPE","38","4","Experiment 2",9,0.444444444444444,0.52704627669473,0.175682092231577,0.405123631167335
"medPE","40","3","Experiment 2",14,0.285714285714286,0.468807230938495,0.125294002758147,0.270681236401463
"medPE","40","4","Experiment 2",2,0,0,0,0
"medPE","41","1","Experiment 2",1,1,NA,NA,NA
"medPE","41","2","Experiment 2",7,0.571428571428571,0.534522483824849,0.202030508910442,0.49435084654581
"medPE","41","3","Experiment 2",4,0.75,0.5,0.25,0.795611576320927
"medPE","41","4","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","42","1","Experiment 2",1,0,NA,NA,NA
"medPE","42","2","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"medPE","42","3","Experiment 2",9,0.666666666666667,0.5,0.166666666666667,0.384334022534028
"medPE","42","4","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"medPE","43","1","Experiment 2",9,0.222222222222222,0.440958551844098,0.146986183948033,0.338950748002044
"medPE","43","2","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"medPE","43","3","Experiment 2",2,0,0,0,0
"medPE","43","4","Experiment 2",2,1,0,0,0
"medPE","48","1","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"medPE","48","2","Experiment 2",2,0,0,0,0
"medPE","48","3","Experiment 2",4,0.75,0.5,0.25,0.795611576320927
"medPE","48","4","Experiment 2",6,1,0,0,0
"medPE","49","1","Experiment 2",8,0.125,0.353553390593274,0.125,0.295578031449098
"medPE","49","2","Experiment 2",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"medPE","49","3","Experiment 2",1,1,NA,NA,NA
