"participant","pictures","pe","corrAns","corrAnsRT","conf","confRT","soundcorrAns","on","soundcorrAnsRT","category","trial","block","rt_out"
3253,"animal_23.png","medPE",1,0.38333,1,0.25384,0,"old",2.418605,"animal",108,2,0.38333
3253,"animal_70.png","new",0,0.73252,2,0.53483,0,"new",NA,"animal",109,2,0.73252
3253,"house_17.png","medPE",1,0.29906,1,0.17647,1,"old",0.66158,"house",110,2,0.29906
3253,"toy_17.png","lowPE",1,0.42024,3,1.07374,0,"old",3.32032,"toy",111,2,0.42024
3253,"animal_17.png","lowPE",1,0.347115,2,1.1357,1,"old",2.31983,"animal",112,2,0.347115
3253,"house_23.png","lowPE",1,0.306445,1,0.1707,1,"old",0.38972,"house",113,2,0.306445
3253,"animal_73.png","new",0,0.34777,2,1.819525,0,"new",NA,"animal",114,2,0.34777
3253,"animal_72.png","new",1,0.345035,2,1.16007,0,"new",NA,"animal",115,2,0.345035
3253,"toy_18.png","lowPE",1,4.5023,2,1.157675,1,"old",1.17125,"toy",116,2,4.5023
3253,"toy_15.png","lowPE",1,0.95391,3,2.12143,0,"old",2.70687,"toy",117,2,0.95391
3253,"house_70.png","new",1,0.398725,1,0.13516,0,"new",NA,"house",118,2,0.398725
3253,"animal_71.png","new",1,0.31966,1,0.1178,0,"new",NA,"animal",119,2,0.31966
3253,"fruit_20.png","lowPE",1,0.355465,3,0.4518,0,"old",0.81884,"fruit",120,2,0.355465
3253,"house_5.png","medPE",1,1.61735,2,0.81117,1,"old",1.429715,"house",121,3,1.61735
3253,"animal_9.png","lowPE",0,0.36598,2,0.158695,1,"old",0.311355,"animal",122,3,0.36598
3253,"house_10.png","lowPE",1,0.271755,1,0.10423,1,"old",0.65939,"house",123,3,0.271755
3253,"fruit_69.png","new",1,0.41486,2,0.188415,0,"new",NA,"fruit",124,3,0.41486
3253,"toy_7.png","lowPE",1,0.265495,1,0.140165,1,"old",1.108675,"toy",125,3,0.265495
3253,"fruit_7.png","medPE",1,0.363025,2,0.340315,0,"old",1.03491,"fruit",126,3,0.363025
3253,"fruit_6.png","medPE",1,0.45511,2,0.54926,0,"old",1.970625,"fruit",127,3,0.45511
3253,"fruit_10.png","lowPE",0,1.136045,3,0.469585,0,"old",1.47458,"fruit",128,3,1.136045
3253,"animal_65.png","new",0,1.1482,2,0.81855,0,"new",NA,"animal",129,3,1.1482
3253,"house_11.png","lowPE",1,0.515985,3,1.90346,0,"old",1.51945,"house",130,3,0.515985
3253,"toy_66.png","new",0,0.683295,2,1.2039,0,"new",NA,"toy",131,3,0.683295
3253,"house_65.png","new",0,1.63358,3,0.439,0,"new",NA,"house",132,3,1.63358
3253,"toy_65.png","new",1,0.313395,1,1.05194,0,"new",NA,"toy",133,3,0.313395
3253,"toy_14.png","highPE",0,0.369745,2,0.368955,1,"old",0.33681,"toy",134,3,0.369745
3253,"toy_67.png","new",0,0.38267,3,0.20128,0,"new",NA,"toy",135,3,0.38267
3253,"fruit_66.png","new",1,2.078725,2,0.852205,0,"new",NA,"fruit",136,3,2.078725
3253,"house_69.png","new",1,0.283955,2,0.118855,0,"new",NA,"house",137,3,0.283955
3253,"house_13.png","lowPE",1,0.759825,2,0.372255,1,"old",3.801185,"house",138,3,0.759825
3253,"house_9.png","lowPE",1,0.705555,2,1.135965,0,"old",1.17185,"house",139,3,0.705555
3253,"house_6.png","medPE",1,0.4326,2,1.351925,1,"old",2.461265,"house",140,3,0.4326
3253,"animal_69.png","new",1,0.2682,2,0.084845,0,"new",NA,"animal",141,3,0.2682
3253,"fruit_65.png","new",1,1.748605,3,1.07706,0,"new",NA,"fruit",142,3,1.748605
3253,"toy_10.png","highPE",1,5.355565,3,0.66595,1,"old",0.39879,"toy",143,3,5.355565
3253,"animal_7.png","lowPE",1,0.41691,3,0.33746,1,"old",5.65608,"animal",144,3,0.41691
3253,"toy_69.png","new",1,0.818245,1,0.685755,0,"new",NA,"toy",145,3,0.818245
3253,"animal_6.png","lowPE",1,0.71732,2,0.68979,0,"old",0.535925,"animal",146,3,0.71732
3253,"animal_12.png","medPE",1,1.38443,2,0.55179,1,"old",2.941975,"animal",147,3,1.38443
3253,"animal_66.png","new",0,0.336095,3,0.37176,0,"new",NA,"animal",148,3,0.336095
3253,"house_66.png","new",0,0.43176,3,0.34072,0,"new",NA,"house",149,3,0.43176
3253,"fruit_9.png","highPE",1,0.330945,2,0.11777,1,"old",4.587395,"fruit",150,3,0.330945
3253,"animal_14.png","medPE",0,0.685395,2,2.090055,1,"old",0.26825,"animal",151,3,0.685395
3253,"fruit_12.png","lowPE",0,0.471935,3,1.23517,1,"old",1.078205,"fruit",152,3,0.471935
3253,"animal_13.png","medPE",0,4.8414,2,1.56724,1,"old",4.39487,"animal",153,3,4.8414
3253,"animal_11.png","highPE",1,0.31806,1,0.114755,0,"old",2.288425,"animal",154,3,0.31806
3253,"toy_8.png","lowPE",1,0.384765,2,0.765645,0,"old",0.30229,"toy",155,3,0.384765
3253,"house_68.png","new",1,1.60027,3,0.302015,0,"new",NA,"house",156,3,1.60027
3253,"fruit_14.png","lowPE",1,0.52338,4,2.05255,0,"old",0.66875,"fruit",157,3,0.52338
3253,"toy_12.png","medPE",1,0.356605,2,0.11744,0,"old",0.427735,"toy",158,3,0.356605
3253,"fruit_68.png","new",1,1.165425,3,0.751885,0,"new",NA,"fruit",159,3,1.165425
3253,"house_7.png","medPE",1,0.604275,1,0.71897,0,"old",0.834935,"house",160,3,0.604275
3253,"house_12.png","lowPE",1,1.513635,2,0.85788,0,"old",0.9184,"house",161,3,1.513635
3253,"toy_68.png","new",0,4.50268,4,1.65954,0,"new",NA,"toy",162,3,4.50268
3253,"fruit_8.png","medPE",0,0.7272,2,0.632445,0,"old",4.720085,"fruit",163,3,0.7272
3253,"fruit_5.png","highPE",0,0.398445,3,0.139935,0,"old",0.5014,"fruit",164,3,0.398445
3253,"animal_8.png","lowPE",1,0.419845,2,0.552205,1,"old",5.70578,"animal",165,3,0.419845
3253,"toy_13.png","medPE",1,0.391045,1,0.19055,0,"old",4.001015,"toy",166,3,0.391045
3253,"house_8.png","highPE",1,0.33534,2,0.54927,0,"old",1.3723,"house",167,3,0.33534
3253,"animal_68.png","new",1,0.349985,2,0.322085,0,"new",NA,"animal",168,3,0.349985
3253,"house_67.png","new",1,0.316815,3,0.62163,0,"new",NA,"house",169,3,0.316815
3253,"fruit_13.png","lowPE",1,0.43498,3,0.58527,0,"old",1.335785,"fruit",170,3,0.43498
3253,"fruit_67.png","new",0,0.725315,3,0.41801,0,"new",NA,"fruit",171,3,0.725315
3253,"toy_6.png","lowPE",1,0.34043,1,0.177015,0,"old",0.41809,"toy",172,3,0.34043
3253,"fruit_11.png","lowPE",1,1.0334,2,1.291225,0,"old",0.50258,"fruit",173,3,1.0334
3253,"animal_5.png","highPE",1,2.18407,2,0.51816,1,"old",1.808555,"animal",174,3,2.18407
3253,"house_14.png","highPE",1,1.500315,3,1.116525,1,"old",2.88413,"house",175,3,1.500315
3253,"toy_5.png","lowPE",0,0.352495,3,1.624435,0,"old",0.253925,"toy",176,3,0.352495
3253,"toy_11.png","medPE",1,0.438,2,0.566785,0,"old",0.707905,"toy",177,3,0.438
3253,"animal_67.png","new",1,0.33378,3,0.45422,0,"new",NA,"animal",178,3,0.33378
3253,"animal_10.png","lowPE",1,0.38409,3,0.900155,0,"old",3.584335,"animal",179,3,0.38409
3253,"toy_9.png","lowPE",1,0.399525,1,0.471755,0,"old",5.493285,"toy",180,3,0.399525
3254,"toy_79.png","new",1,5.80964,4,1.70265,0,"new",NA,"toy",1,1,5.80964
3254,"house_34.png","highPE",0,1.126395,2,1.334985,1,"old",5.496635,"house",2,1,1.126395
3254,"fruit_27.png","medPE",1,3.611505,1,0.834845,1,"old",2.316475,"fruit",3,1,3.611505
3254,"toy_34.png","highPE",1,0.84927,2,1.20144,1,"old",1.638185,"toy",4,1,0.84927
3254,"fruit_25.png","highPE",0,0.73235,3,1.615335,0,"old",0.839175,"fruit",5,1,0.73235
3254,"animal_26.png","lowPE",1,4.02461,1,0.5999,0,"old",3.136305,"animal",6,1,4.02461
3254,"animal_34.png","medPE",0,1.90383,1,1.188415,0,"old",0.4384,"animal",7,1,1.90383
3254,"toy_78.png","new",1,0.49332,1,0.48639,0,"new",NA,"toy",8,1,0.49332
3254,"toy_77.png","new",1,0.47937,1,0.669875,0,"new",NA,"toy",9,1,0.47937
3254,"fruit_30.png","lowPE",1,0.441975,1,0.73428,0,"old",0.38369,"fruit",10,1,0.441975
3254,"house_78.png","new",1,0.50642,1,1.05511,0,"new",NA,"house",11,1,0.50642
3254,"house_27.png","medPE",1,0.47617,1,0.61726,0,"old",0.400995,"house",12,1,0.47617
3254,"toy_75.png","new",1,0.958065,1,0.528415,0,"new",NA,"toy",13,1,0.958065
3254,"house_30.png","lowPE",1,0.638895,2,0.35314,0,"old",0.439645,"house",14,1,0.638895
3254,"animal_32.png","medPE",1,0.68079,1,1.02289,1,"old",2.3696,"animal",15,1,0.68079
3254,"fruit_75.png","new",1,0.75823,2,0.91824,0,"new",NA,"fruit",16,1,0.75823
3254,"animal_27.png","lowPE",0,0.352625,2,0.734675,1,"old",0.53488,"animal",17,1,0.352625
3254,"animal_28.png","lowPE",1,3.975575,1,0.39635,1,"old",1.078525,"animal",18,1,3.975575
3254,"animal_75.png","new",1,0.56419,1,0.819745,0,"new",NA,"animal",19,1,0.56419
3254,"fruit_31.png","lowPE",1,0.79581,1,0.402275,1,"old",0.502245,"fruit",20,1,0.79581
3254,"toy_32.png","medPE",1,3.59907,3,0.882755,1,"old",0.307395,"toy",21,1,3.59907
3254,"house_75.png","new",1,0.96132,1,0.56839,0,"new",NA,"house",22,1,0.96132
